,sizeSeq1,repNo,angleSeq,mod,trialID,FrameStim,stimLength,n,ExpectedcorrectAnswer_mean,ExpectedcorrectAnswer_raw,ExpectedcorrectAnswer_std,FrameStim_mean,FrameStim_raw,Resp_mean,Resp_raw,Resp_std,absMod_mean,absMod_raw,acc_mean,acc_raw,acc_std,actualcorrectAnswer_mean,actualcorrectAnswer_raw,actualcorrectAnswer_std,angleS_mean,angleS_raw,repNo_mean,repNo_raw,sizeSeq`_mean,sizeSeq`_raw,soundTLoc_mean,soundTLoc_raw,soundTLoc_std,stGap_mean,stGap_raw,stGap_std,stimLength_mean,stimLength_raw,timeafter_mean,timeafter_raw,timeafter_std,timebefore_mean,timebefore_raw,timebefore_std,totalGapTime_mean,totalGapTime_raw,totalGapTime_std,trialDropID_mean,trialDropID_raw,trialDropID_std,trialID_mean,trialID_raw,order
32,1,1,70.0,1.0,33.0,43.0,2.0,1.0,0.0,0.0,0.0,43.0,43.0,-1.0,-1.0,0.0,1.0,1.0,,,,1.0,1.0,0.0,70.0,70.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,1.25099599361,1.250995993614197,0.0,0.697331547737,0.6973315477371216,0.0,1.94832754135,1.948327541351318,0.0,,,,33.0,33.0,32.0
33,1,2,60.0,1.0,34.0,43.0,2.0,1.0,0.0,0.0,0.0,43.0,43.0,-1.0,-1.0,0.0,1.0,1.0,,,,1.0,1.0,0.0,60.0,60.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,1.25098025799,1.250980257987976,0.0,0.697359323502,0.6973593235015869,0.0,1.94833958149,1.948339581489563,0.0,,,,34.0,34.0,33.0
34,1,1,50.0,1.0,35.0,43.0,2.0,1.0,0.0,0.0,0.0,43.0,43.0,-1.0,-1.0,0.0,1.0,1.0,,,,1.0,1.0,0.0,50.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,1.25094950199,1.250949501991272,0.0,0.697218537331,0.6972185373306274,0.0,1.94816803932,1.948168039321899,0.0,,,,35.0,35.0,34.0
35,1,1,0.0,1.0,36.0,43.0,2.0,1.0,0.0,0.0,0.0,43.0,43.0,-1.0,-1.0,0.0,1.0,1.0,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,1.25099122524,1.250991225242615,0.0,0.697103738785,0.69710373878479,0.0,1.94809496403,1.948094964027405,0.0,,,,36.0,36.0,35.0
36,1,2,60.0,-1.0,37.0,51.0,2.0,1.0,0.0,0.0,0.0,51.0,51.0,1.0,1.0,0.0,-1.0,-1.0,,,,-1.0,-1.0,0.0,60.0,60.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,1.11752796173,1.117527961730957,0.0,0.831042408943,0.8310424089431763,0.0,1.94857037067,1.948570370674133,0.0,2.0,2.0,0.0,37.0,37.0,36.0
37,1,2,0.0,1.0,38.0,67.0,2.0,1.0,0.0,0.0,0.0,67.0,67.0,1.0,1.0,0.0,1.0,1.0,,,,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.850683271885,0.8506832718849182,0.0,1.09758675098,1.097586750984192,0.0,1.94827008247,1.948270082473755,0.0,,,,38.0,38.0,37.0
38,1,2,80.0,1.0,39.0,59.0,2.0,1.0,0.0,0.0,0.0,59.0,59.0,-1.0,-1.0,0.0,1.0,1.0,,,,1.0,1.0,0.0,80.0,80.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.98410230875,0.9841023087501526,0.0,0.964129030704,0.9641290307044983,0.0,1.94823133945,1.948231339454651,0.0,,,,39.0,39.0,38.0
39,1,2,30.0,-1.0,40.0,67.0,2.0,1.0,0.0,0.0,0.0,67.0,67.0,1.0,1.0,0.0,-1.0,-1.0,,,,1.0,1.0,0.0,30.0,30.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.850681483746,0.850681483745575,0.0,1.09768080711,1.097680807113647,0.0,1.94836223125,1.948362231254578,0.0,2.0,2.0,0.0,40.0,40.0,39.0
40,1,2,0.0,-1.0,41.0,59.0,2.0,1.0,0.0,0.0,0.0,59.0,59.0,-1.0,-1.0,0.0,-1.0,-1.0,,,,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.984065413475,0.9840654134750366,0.0,0.964485943317,0.9644859433174133,0.0,1.94855129719,1.948551297187805,0.0,2.0,2.0,0.0,41.0,41.0,40.0
41,1,1,30.0,1.0,42.0,75.0,2.0,1.0,0.0,0.0,0.0,75.0,75.0,1.0,1.0,0.0,1.0,1.0,,,,1.0,1.0,0.0,30.0,30.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.717191874981,0.7171918749809265,0.0,1.23051071167,1.230510711669922,0.0,1.94770252705,1.947702527046204,0.0,2.0,2.0,0.0,42.0,42.0,41.0
